Subject,UID,Protocol,Run,Time,curr_state,next_state,tx_event,l_lever,r_lever,l_lev_off,r_lev_off
BA1651,AG,6,1,8059.3,3,0,0,0,1,0,0
BA1651,AG,6,1,8059.34,3,0,0,0,0,0,1
BA1651,AG,6,1,8061.94,3,0,0,0,1,0,0
BA1651,AG,6,1,8062.04,3,0,0,0,0,0,1
BA1651,AG,6,1,8062.12,3,0,0,0,1,0,0
BA1651,AG,6,1,8062.16,3,0,0,0,0,0,1
BA1651,AG,6,1,8062.24,3,0,0,0,1,0,0
BA1651,AG,6,1,8063.42,3,0,0,0,0,0,1
BA1651,AG,6,1,8067.0,3,5,1,1,0,0,0
BA1651,AG,6,1,8067.2,5,9,0,0,0,0,0
BA1651,AG,6,1,8067.4,9,10,0,0,0,0,0
BA1651,AG,6,1,8067.44,10,0,0,0,0,1,0
BA1651,AG,6,1,8068.4,10,2,0,0,0,0,0
BA1651,AG,6,1,8068.42,2,3,0,0,0,0,0
BA1651,AG,6,1,8071.66,3,5,1,1,0,0,0
BA1651,AG,6,1,8071.86,5,9,0,0,0,0,0
BA1651,AG,6,1,8071.98,9,0,0,0,0,1,0
BA1651,AG,6,1,8072.06,9,-1,0,0,0,0,0
