Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - LEFT,A2 - RIGHT,A[1] LEFT,A[2] RIGHT
BA1653,AG,4,1,25519,10,2,0,0,0,0,0
BA1653,AG,4,1,25520,2,3,0,0,0,0,0
BA1653,AG,4,1,25918,3,5,1,1,0,0,0
BA1653,AG,4,1,25928,5,4,0,0,0,0,0
BA1653,AG,4,1,25964,4,0,0,0,0,1,0
BA1653,AG,4,1,26025,4,5,1,1,0,0,0
BA1653,AG,4,1,26035,5,4,0,0,0,0,0
BA1653,AG,4,1,26056,4,0,0,0,0,1,0
BA1653,AG,4,1,26077,4,5,1,1,0,0,0
BA1653,AG,4,1,26084,5,0,0,0,0,1,0
BA1653,AG,4,1,26087,5,4,0,0,0,0,0
BA1653,AG,4,1,26099,4,5,1,1,0,0,0
BA1653,AG,4,1,26109,5,4,0,0,0,0,0
BA1653,AG,4,1,26158,4,0,0,0,0,1,0
BA1653,AG,4,1,26178,4,5,1,1,0,0,0
BA1653,AG,4,1,26183,5,0,0,0,0,1,0
BA1653,AG,4,1,26188,5,9,0,0,0,0,0
BA1653,AG,4,1,26194,9,0,0,1,0,0,0
BA1653,AG,4,1,26198,9,10,0,0,0,0,0
BA1653,AG,4,1,26202,10,0,0,0,0,1,0
BA1653,AG,4,1,26273,10,2,0,0,0,0,0
BA1653,AG,4,1,26274,2,3,0,0,0,0,0
BA1653,AG,4,1,26424,3,5,1,1,0,0,0
BA1653,AG,4,1,26434,5,4,0,0,0,0,0
BA1653,AG,4,1,26467,4,0,0,0,0,1,0
BA1653,AG,4,1,26496,4,5,1,1,0,0,0
BA1653,AG,4,1,26506,5,4,0,0,0,0,0
BA1653,AG,4,1,26519,4,0,0,0,0,1,0
BA1653,AG,4,1,26563,4,5,1,1,0,0,0
BA1653,AG,4,1,26573,5,4,0,0,0,0,0
BA1653,AG,4,1,26579,4,0,0,0,0,1,0
BA1653,AG,4,1,26600,4,5,1,1,0,0,0
BA1653,AG,4,1,26610,5,4,0,0,0,0,0
BA1653,AG,4,1,26667,4,0,0,0,0,1,0
BA1653,AG,4,1,26684,4,5,1,1,0,0,0
BA1653,AG,4,1,26694,5,9,0,0,0,0,0
BA1653,AG,4,1,26704,9,10,0,0,0,0,0
BA1653,AG,4,1,26710,10,0,0,0,0,1,0
BA1653,AG,4,1,26779,10,2,0,0,0,0,0
BA1653,AG,4,1,26780,2,3,0,0,0,0,0
BA1653,AG,4,1,26956,3,5,1,1,0,0,0
BA1653,AG,4,1,26966,5,4,0,0,0,0,0
BA1653,AG,4,1,27082,4,0,0,0,0,1,0
BA1653,AG,4,1,27131,4,5,1,1,0,0,0
BA1653,AG,4,1,27141,5,4,0,0,0,0,0
BA1653,AG,4,1,27181,4,0,0,0,0,1,0
BA1653,AG,4,1,27198,4,5,1,1,0,0,0
BA1653,AG,4,1,27208,5,4,0,0,0,0,0
BA1653,AG,4,1,27210,4,0,0,0,0,1,0
BA1653,AG,4,1,27234,4,5,1,1,0,0,0
BA1653,AG,4,1,27244,5,4,0,0,0,0,0
BA1653,AG,4,1,27260,4,0,0,0,0,1,0
BA1653,AG,4,1,27297,4,5,1,1,0,0,0
BA1653,AG,4,1,27307,5,9,0,0,0,0,0
BA1653,AG,4,1,27317,9,10,0,0,0,0,0
BA1653,AG,4,1,27320,10,0,0,0,0,1,0
BA1653,AG,4,1,27392,10,2,0,0,0,0,0
BA1653,AG,4,1,27393,2,6,0,0,0,0,0
BA1653,AG,4,1,27586,6,0,0,1,0,0,0
BA1653,AG,4,1,27628,6,0,0,0,0,1,0
BA1653,AG,4,1,27690,6,0,0,1,0,0,0
BA1653,AG,4,1,27734,6,0,0,0,0,1,0
BA1653,AG,4,1,27797,6,0,0,1,0,0,0
BA1653,AG,4,1,27878,6,0,0,0,0,1,0
BA1653,AG,4,1,29487,6,8,2,0,1,0,0
BA1653,AG,4,1,29497,8,7,0,0,0,0,0
BA1653,AG,4,1,29512,7,0,0,0,0,0,1
BA1653,AG,4,1,29867,7,8,2,0,1,0,0
BA1653,AG,4,1,29875,8,0,0,0,0,0,1
BA1653,AG,4,1,29876,8,0,0,0,1,0,0
BA1653,AG,4,1,29877,8,7,0,0,0,0,0
BA1653,AG,4,1,29901,7,0,0,0,0,0,1
BA1653,AG,4,1,29903,7,8,2,0,1,0,0
BA1653,AG,4,1,29913,8,7,0,0,0,0,0
BA1653,AG,4,1,29922,7,0,0,0,0,0,1
BA1653,AG,4,1,29970,7,8,2,0,1,0,0
BA1653,AG,4,1,29980,8,7,0,0,0,0,0
BA1653,AG,4,1,29991,7,0,0,0,0,0,1
BA1653,AG,4,1,30014,7,8,2,0,1,0,0
BA1653,AG,4,1,30024,8,7,0,0,0,0,0
BA1653,AG,4,1,30032,7,0,0,0,0,0,1
BA1653,AG,4,1,30075,7,8,2,0,1,0,0
BA1653,AG,4,1,30085,8,7,0,0,0,0,0
BA1653,AG,4,1,30109,7,0,0,0,0,0,1
BA1653,AG,4,1,30164,7,8,2,0,1,0,0
BA1653,AG,4,1,30174,8,7,0,0,0,0,0
BA1653,AG,4,1,30176,7,0,0,0,0,0,1
BA1653,AG,4,1,30178,7,8,2,0,1,0,0
BA1653,AG,4,1,30188,8,7,0,0,0,0,0
BA1653,AG,4,1,30205,7,0,0,0,0,0,1
BA1653,AG,4,1,30217,7,8,2,0,1,0,0
BA1653,AG,4,1,30227,8,7,0,0,0,0,0
BA1653,AG,4,1,30271,7,0,0,0,0,0,1
BA1653,AG,4,1,30277,7,8,2,0,1,0,0
BA1653,AG,4,1,30284,8,0,0,0,0,0,1
BA1653,AG,4,1,30287,8,7,0,0,0,0,0
BA1653,AG,4,1,30325,7,8,2,0,1,0,0
BA1653,AG,4,1,30335,8,7,0,0,0,0,0
BA1653,AG,4,1,30369,7,0,0,0,0,0,1
BA1653,AG,4,1,30442,7,8,2,0,1,0,0
BA1653,AG,4,1,30446,8,0,0,0,0,0,1
BA1653,AG,4,1,30448,8,0,0,0,1,0,0
BA1653,AG,4,1,30452,8,7,0,0,0,0,0
BA1653,AG,4,1,30471,7,0,0,0,0,0,1
BA1653,AG,4,1,30473,7,8,2,0,1,0,0
BA1653,AG,4,1,30474,8,0,0,0,0,0,1
BA1653,AG,4,1,30476,8,0,0,0,1,0,0
BA1653,AG,4,1,30483,8,7,0,0,0,0,0
BA1653,AG,4,1,30512,7,0,0,0,0,0,1
BA1653,AG,4,1,30518,7,8,2,0,1,0,0
BA1653,AG,4,1,30528,8,7,0,0,0,0,0
BA1653,AG,4,1,30530,7,0,0,0,0,0,1
BA1653,AG,4,1,30536,7,8,2,0,1,0,0
BA1653,AG,4,1,30546,8,7,0,0,0,0,0
BA1653,AG,4,1,30557,7,0,0,0,0,0,1
BA1653,AG,4,1,30558,7,8,2,0,1,0,0
BA1653,AG,4,1,30568,8,7,0,0,0,0,0
BA1653,AG,4,1,30570,7,0,0,0,0,0,1
BA1653,AG,4,1,30621,7,8,2,0,1,0,0
BA1653,AG,4,1,30631,8,7,0,0,0,0,0
BA1653,AG,4,1,30664,7,0,0,0,0,0,1
BA1653,AG,4,1,30729,7,8,2,0,1,0,0
BA1653,AG,4,1,30739,8,7,0,0,0,0,0
BA1653,AG,4,1,30751,7,0,0,0,0,0,1
BA1653,AG,4,1,30759,7,8,2,0,1,0,0
BA1653,AG,4,1,30769,8,7,0,0,0,0,0
BA1653,AG,4,1,30771,7,0,0,0,0,0,1
BA1653,AG,4,1,30773,7,8,2,0,1,0,0
BA1653,AG,4,1,30783,8,9,0,0,0,0,0
BA1653,AG,4,1,30788,9,0,0,0,0,0,1
BA1653,AG,4,1,30793,9,10,0,0,0,0,0
BA1653,AG,4,1,30868,10,2,0,0,0,0,0
BA1653,AG,4,1,30869,2,6,0,0,0,0,0
BA1653,AG,4,1,31117,6,8,2,0,1,0,0
BA1653,AG,4,1,31127,8,7,0,0,0,0,1
BA1653,AG,4,1,31184,7,8,2,0,1,0,0
BA1653,AG,4,1,31194,8,7,0,0,0,0,0
BA1653,AG,4,1,31207,7,0,0,0,0,0,1
BA1653,AG,4,1,31239,7,8,2,0,1,0,0
BA1653,AG,4,1,31241,8,0,0,0,0,0,1
BA1653,AG,4,1,31249,8,7,0,0,0,0,0
BA1653,AG,4,1,31262,7,8,2,0,1,0,0
BA1653,AG,4,1,31272,8,7,0,0,0,0,0
BA1653,AG,4,1,31282,7,0,0,0,0,0,1
BA1653,AG,4,1,31289,7,8,2,0,1,0,0
BA1653,AG,4,1,31299,8,7,0,0,0,0,0
BA1653,AG,4,1,31313,7,0,0,0,0,0,1
BA1653,AG,4,1,31331,7,8,2,0,1,0,0
BA1653,AG,4,1,31335,8,0,0,0,0,0,1
BA1653,AG,4,1,31341,8,7,0,0,0,0,0
BA1653,AG,4,1,31356,7,8,2,0,1,0,0
BA1653,AG,4,1,31366,8,7,0,0,0,0,0
BA1653,AG,4,1,31378,7,0,0,0,0,0,1
BA1653,AG,4,1,31472,7,8,2,0,1,0,0
BA1653,AG,4,1,31482,8,7,0,0,0,0,0
BA1653,AG,4,1,31499,7,0,0,0,0,0,1
BA1653,AG,4,1,31504,7,8,2,0,1,0,0
BA1653,AG,4,1,31514,8,7,0,0,0,0,0
BA1653,AG,4,1,31522,7,0,0,0,0,0,1
BA1653,AG,4,1,31560,7,8,2,0,1,0,0
BA1653,AG,4,1,31570,8,7,0,0,0,0,0
BA1653,AG,4,1,31650,7,0,0,0,0,0,1
BA1653,AG,4,1,31681,7,8,2,0,1,0,0
BA1653,AG,4,1,31685,8,0,0,0,0,0,1
BA1653,AG,4,1,31688,8,0,0,0,1,0,0
BA1653,AG,4,1,31691,8,7,0,0,0,0,0
BA1653,AG,4,1,31714,7,0,0,0,0,0,1
BA1653,AG,4,1,31745,7,8,2,0,1,0,0
BA1653,AG,4,1,31755,8,7,0,0,0,0,0
BA1653,AG,4,1,31792,7,0,0,0,0,0,1
BA1653,AG,4,1,31856,7,8,2,0,1,0,0
BA1653,AG,4,1,31866,8,7,0,0,0,0,0
BA1653,AG,4,1,31902,7,0,0,0,0,0,1
BA1653,AG,4,1,31933,7,8,2,0,1,0,0
BA1653,AG,4,1,31938,8,0,0,0,0,0,1
BA1653,AG,4,1,31943,8,7,0,0,0,0,0
BA1653,AG,4,1,31944,7,8,2,0,1,0,0
BA1653,AG,4,1,31954,8,7,0,0,0,0,0
BA1653,AG,4,1,31995,7,0,0,0,0,0,1
BA1653,AG,4,1,32112,7,8,2,0,1,0,0
BA1653,AG,4,1,32116,8,0,0,0,0,0,1
BA1653,AG,4,1,32117,8,0,0,0,1,0,0
BA1653,AG,4,1,32122,8,7,0,0,0,0,0
BA1653,AG,4,1,32158,7,0,0,0,0,0,1
BA1653,AG,4,1,32232,7,8,2,0,1,0,0
BA1653,AG,4,1,32242,8,7,0,0,0,0,0
BA1653,AG,4,1,32269,7,0,0,0,0,0,1
BA1653,AG,4,1,32334,7,8,2,0,1,0,0
BA1653,AG,4,1,32344,8,7,0,0,0,0,0
BA1653,AG,4,1,32357,7,0,0,0,0,0,1
BA1653,AG,4,1,32360,7,8,2,0,1,0,0
BA1653,AG,4,1,32370,8,7,0,0,0,0,0
BA1653,AG,4,1,32372,7,0,0,0,0,0,1
BA1653,AG,4,1,32434,7,8,2,0,1,0,0
BA1653,AG,4,1,32444,8,9,0,0,0,0,0
BA1653,AG,4,1,32449,9,0,0,0,0,0,1
BA1653,AG,4,1,32454,9,10,0,0,0,0,0
BA1653,AG,4,1,32529,10,2,0,0,0,0,0
BA1653,AG,4,1,32530,2,3,0,0,0,0,0
BA1653,AG,4,1,32898,3,5,1,1,0,0,0
BA1653,AG,4,1,32908,5,4,0,0,0,0,0
BA1653,AG,4,1,32942,4,0,0,0,0,1,0
BA1653,AG,4,1,33002,4,5,1,1,0,0,0
BA1653,AG,4,1,33012,5,4,0,0,0,0,0
BA1653,AG,4,1,33102,4,0,0,0,0,1,0
BA1653,AG,4,1,33103,4,5,1,1,0,0,0
BA1653,AG,4,1,33113,5,4,0,0,0,0,0
BA1653,AG,4,1,33115,4,0,0,0,0,1,0
BA1653,AG,4,1,33137,4,5,1,1,0,0,0
BA1653,AG,4,1,33147,5,4,0,0,0,0,0
BA1653,AG,4,1,33196,4,0,0,0,0,1,0
BA1653,AG,4,1,33259,4,5,1,1,0,0,0
BA1653,AG,4,1,33269,5,9,0,0,0,0,0
BA1653,AG,4,1,33279,9,10,0,0,0,0,0
BA1653,AG,4,1,33282,10,0,0,0,0,1,0
BA1653,AG,4,1,33354,10,2,0,0,0,0,0
BA1653,AG,4,1,33355,2,6,0,0,0,0,0
BA1653,AG,4,1,33534,6,0,0,1,0,0,0
BA1653,AG,4,1,33570,6,0,0,0,0,1,0
BA1653,AG,4,1,33682,6,0,0,1,0,0,0
BA1653,AG,4,1,33730,6,0,0,0,0,1,0
BA1653,AG,4,1,33916,6,8,2,0,1,0,0
BA1653,AG,4,1,33926,8,7,0,0,0,0,0
BA1653,AG,4,1,33940,7,0,0,0,0,0,1
BA1653,AG,4,1,34022,7,8,2,0,1,0,0
BA1653,AG,4,1,34032,8,7,0,0,0,0,0
BA1653,AG,4,1,34055,7,0,0,0,0,0,1
BA1653,AG,4,1,34276,7,8,2,0,1,0,0
BA1653,AG,4,1,34286,8,7,0,0,0,0,0
BA1653,AG,4,1,34306,7,0,0,0,0,0,1
BA1653,AG,4,1,34454,7,8,2,0,1,0,0
BA1653,AG,4,1,34464,8,7,0,0,0,0,0
BA1653,AG,4,1,34476,7,0,0,0,0,0,1
BA1653,AG,4,1,34515,7,8,2,0,1,0,0
BA1653,AG,4,1,34525,8,7,0,0,0,0,0
BA1653,AG,4,1,34544,7,8,2,0,1,0,1
BA1653,AG,4,1,34553,8,0,0,0,0,0,1
BA1653,AG,4,1,34554,8,7,0,0,0,0,0
BA1653,AG,4,1,34603,7,8,2,0,1,0,0
BA1653,AG,4,1,34613,8,7,0,0,0,0,0
BA1653,AG,4,1,34644,7,0,0,0,0,0,1
BA1653,AG,4,1,34698,7,8,2,0,1,0,0
BA1653,AG,4,1,34708,8,7,0,0,0,0,0
BA1653,AG,4,1,34719,7,0,0,0,0,0,1
BA1653,AG,4,1,34780,7,8,2,0,1,0,0
BA1653,AG,4,1,34790,8,7,0,0,0,0,0
BA1653,AG,4,1,34794,7,0,0,0,0,0,1
BA1653,AG,4,1,34797,7,8,2,0,1,0,0
BA1653,AG,4,1,34801,8,0,0,0,0,0,1
BA1653,AG,4,1,34807,8,7,0,0,0,0,0
BA1653,AG,4,1,34851,7,8,2,0,1,0,0
BA1653,AG,4,1,34861,8,7,0,0,0,0,0
BA1653,AG,4,1,34887,7,0,0,0,0,0,1
BA1653,AG,4,1,34927,7,8,2,0,1,0,0
BA1653,AG,4,1,34937,8,7,0,0,0,0,0
BA1653,AG,4,1,34952,7,0,0,0,0,0,1
BA1653,AG,4,1,35028,7,8,2,0,1,0,0
BA1653,AG,4,1,35033,8,0,0,0,0,0,1
BA1653,AG,4,1,35037,8,0,0,0,1,0,0
BA1653,AG,4,1,35038,8,7,0,0,0,0,0
BA1653,AG,4,1,35043,7,0,0,0,0,0,1
BA1653,AG,4,1,35055,7,8,2,0,1,0,0
BA1653,AG,4,1,35057,8,0,0,0,0,0,1
BA1653,AG,4,1,35065,8,7,0,0,0,0,0
BA1653,AG,4,1,35130,7,8,2,0,1,0,0
BA1653,AG,4,1,35140,8,7,0,0,0,0,0
BA1653,AG,4,1,35184,7,0,0,0,0,0,1
BA1653,AG,4,1,35185,7,8,2,0,1,0,0
BA1653,AG,4,1,35195,8,7,0,0,0,0,0
BA1653,AG,4,1,35205,7,0,0,0,0,0,1
BA1653,AG,4,1,35223,7,8,2,0,1,0,0
BA1653,AG,4,1,35233,8,7,0,0,0,0,0
BA1653,AG,4,1,35280,7,0,0,0,0,0,1
