Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	BL	1	80	9	2	BA1651	4136	8	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4140	9	0	0	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4145	9	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4146	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4221	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4222	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4239	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4249	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4251	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4281	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4291	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4323	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4347	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4357	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4382	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4417	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4427	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4472	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4493	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4497	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4503	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4531	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4534	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4541	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4557	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4567	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4586	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4598	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4608	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4618	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4629	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4639	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4683	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4688	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4698	8	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4708	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4711	10	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4783	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4784	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4909	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4915	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4919	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4926	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4936	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4945	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4952	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4956	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	4962	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4972	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4982	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	4990	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5013	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5016	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5017	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5019	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5023	8	7	0	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5028	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5034	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5040	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5044	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5058	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5068	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5078	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5087	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5097	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5111	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5119	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5129	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5141	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5147	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5149	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5153	8	0	0	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5157	8	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5167	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5175	10	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	5242	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5243	2	3	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5322	3	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5332	5	4	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5363	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5373	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5402	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5406	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5416	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5445	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5471	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5481	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5508	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5510	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5520	5	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5530	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5540	10	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5605	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5606	2	6	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5652	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5690	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5720	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5750	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5754	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5817	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5854	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5896	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	5923	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	5989	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	6027	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	6166	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	6249	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	6315	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	6343	6	0	0	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	6385	6	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	6519	6	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	6529	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	6537	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	6539	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	6549	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	6551	7	0	0	0	0	0	0	0	1	0	0
