Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	AG	23	139	1	1	BA1650	3618	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3619	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3622	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3630	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3632	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3633	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3643	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3649	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3656	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3659	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3666	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3696	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3698	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3702	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3706	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3712	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3716	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3726	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3731	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3746	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3748	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3756	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3762	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3768	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3771	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3772	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3774	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3775	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3777	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3781	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3784	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3785	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3792	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3796	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3801	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3802	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3806	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3816	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3824	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3826	8	7	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3844	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3849	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3852	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3859	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3915	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3925	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3928	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3934	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3944	8	7	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3947	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3952	8	0	0	0	0	0	0	0	1	0	0
