date,time,fr25,fr50,fr75,fr100
,3248.82,1,*-99,*-99,*-99
,3249.38,1,*-99,*-99,*-99
,3250.62,1,*-99,*-99,*-99
,3251.57,1,*-99,*-99,*-99
,3252.02,1,*-99,*-99,*-99
,3252.47,1,*-99,*-99,*-99
,3253.06,1,*-99,*-99,*-99
,3254.11,1,*-99,*-99,*-99
,3255.63,1,*-99,*-99,*-99
,3256.28,1,*-99,*-99,*-99
,3257.0,1,*-99,*-99,*-99
,3259.06,1,*-99,*-99,*-99
,3259.5,1,*-99,*-99,*-99
,3259.91,1,*-99,*-99,*-99
,3261.56,1,*-99,*-99,*-99
,3262.05,1,*-99,*-99,*-99
,3263.53,1,*-99,*-99,*-99
,3264.1,1,*-99,*-99,*-99
,3265.36,1,*-99,*-99,*-99
,3267.0,1,*-99,*-99,*-99
,3290.32,0,*-99,*-99,*-99
,3356.54,1,*-99,*-99,*-99
,3358.17,1,*-99,*-99,*-99
,3360.46,1,*-99,*-99,*-99
,3360.75,1,*-99,*-99,*-99
,3366.77,1,*-99,*-99,*-99
,3371.0,1,*-99,*-99,*-99
,3372.47,1,*-99,*-99,*-99
,3373.01,1,*-99,*-99,*-99
,3374.38,1,*-99,*-99,*-99
,3374.89,1,*-99,*-99,*-99
,3375.38,1,*-99,*-99,*-99
,3377.04,1,*-99,*-99,*-99
,3377.53,1,*-99,*-99,*-99
,3379.43,1,*-99,*-99,*-99
,3379.8,1,*-99,*-99,*-99
,3381.57,1,*-99,*-99,*-99
,3384.24,1,*-99,*-99,*-99
,3385.68,1,*-99,*-99,*-99
,3386.16,1,*-99,*-99,*-99
,3387.86,1,*-99,*-99,*-99
,3389.03,1,*-99,*-99,*-99
,3390.3,1,*-99,*-99,*-99
,3390.5,1,*-99,*-99,*-99
,3392.51,1,*-99,*-99,*-99
,3392.89,1,*-99,*-99,*-99
,3410.28,1,*-99,*-99,*-99
,3410.65,1,*-99,*-99,*-99
,3411.82,1,*-99,*-99,*-99
,3412.36,1,*-99,*-99,*-99
,3414.67,1,*-99,*-99,*-99
,3415.04,1,*-99,*-99,*-99
,3415.74,1,*-99,*-99,*-99
,3416.58,1,*-99,*-99,*-99
,3416.92,1,*-99,*-99,*-99
,3417.62,1,*-99,*-99,*-99
,3419.36,1,*-99,*-99,*-99
,3420.43,1,*-99,*-99,*-99
,3420.87,1,*-99,*-99,*-99
,3421.6,1,*-99,*-99,*-99
,3423.05,1,*-99,*-99,*-99
,3423.77,1,*-99,*-99,*-99
,3424.76,1,*-99,*-99,*-99
,3426.05,1,*-99,*-99,*-99
,3427.58,1,*-99,*-99,*-99
,3427.99,1,*-99,*-99,*-99
,3430.0,1,*-99,*-99,*-99
,3430.68,1,*-99,*-99,*-99
,3431.33,1,*-99,*-99,*-99
,3431.83,1,*-99,*-99,*-99
,3433.12,1,*-99,*-99,*-99
,3454.47,1,*-99,*-99,*-99
,3454.87,1,*-99,*-99,*-99
,3459.51,1,*-99,*-99,*-99
,3460.27,1,*-99,*-99,*-99
,3460.58,1,*-99,*-99,*-99
,3462.96,1,*-99,*-99,*-99
,3463.3,1,*-99,*-99,*-99
,3465.98,1,*-99,*-99,*-99
,3466.36,1,*-99,*-99,*-99
,3466.91,1,*-99,*-99,*-99
,3467.26,1,*-99,*-99,*-99
,3467.63,1,*-99,*-99,*-99
,3468.98,1,*-99,*-99,*-99
,3469.31,1,*-99,*-99,*-99
,3469.98,1,*-99,*-99,*-99
,3471.6,1,*-99,*-99,*-99
